,epoch,train_loss,train_mse,test_mse,dev_mse,acc_train,acc_test,acc_dev,mean_pred_train,mean_pred_dev,mean_pred_test,std_pred_train,std_pred_dev,std_pred_test
0,152,50704.765625,50331.242,91709.03,212570.25,1.4833333333333334,0.35000000000000003,0.25,5.237268,8.162473,9.060022,4.2206364,4.9142866,5.4758697
0,153,50998.93359375,50151.777,91674.336,212784.03,1.5,0.35000000000000003,0.25,5.110243,7.9711623,8.820509,4.2058597,4.9040074,5.4377465
0,154,53450.021484375,49967.16,91581.164,212966.92,1.5,0.35000000000000003,0.25,5.054222,7.888465,8.70696,4.2065964,4.9092035,5.422915
0,155,53838.033203125,49704.582,91330.55,212963.58,1.5,0.35000000000000003,0.25,5.2380676,8.164852,9.020033,4.2619495,4.9670773,5.4950037
0,156,48218.2587890625,49522.9,91136.086,213045.62,1.5333333333333334,0.4,0.25,5.462254,8.503734,9.40554,4.3262177,5.033429,5.580765
0,157,50904.748046875,49403.484,91044.39,213214.97,1.5333333333333334,0.4,0.25,5.629577,8.757003,9.692285,4.3792176,5.088788,5.6497316
0,158,42871.068359375,49280.887,90982.32,213408.42,1.5333333333333334,0.4,0.25,5.732582,8.915964,9.866476,4.4171634,5.127895,5.694325
0,159,49871.728515625,48970.504,90848.22,213450.25,1.5333333333333334,0.4,0.25,5.5890594,8.706041,9.605826,4.400882,5.1123123,5.6538515
0,160,45421.5732421875,48682.082,90788.56,213607.95,1.55,0.4,0.25,5.238084,8.18764,8.9767475,4.338118,5.053359,5.537685
0,161,49699.83203125,48615.734,90923.38,214062.95,1.5333333333333334,0.4,0.2,4.922867,7.7208357,8.408404,4.2844167,5.0075936,5.4338827
0,162,51934.818359375,48617.453,91032.914,214592.95,1.5333333333333334,0.4,0.2,4.710545,7.4090376,8.016811,4.251161,4.9839964,5.36006
0,163,49550.95703125,48481.57,90942.25,214882.78,1.55,0.4,0.2,4.656862,7.331481,7.902379,4.250688,4.9904485,5.3396697
0,164,46602.849609375,47990.445,90396.1,214548.8,1.55,0.4,0.2,4.938202,7.752846,8.381334,4.3220034,5.0585585,5.437566
0,165,43046.5361328125,47658.625,89965.14,214322.95,1.5833333333333333,0.45,0.2,5.367955,8.391383,9.121935,4.4272633,5.160678,5.5924106
0,166,47403.251953125,47522.14,89806.336,214444.95,1.5833333333333333,0.45,0.2,5.568448,8.688707,9.457585,4.4841514,5.220477,5.668546
0,167,46393.2607421875,47364.188,89719.3,214590.6,1.5833333333333333,0.45,0.2,5.6387167,8.78855,9.565118,4.5147624,5.255988,5.7045565
0,168,42175.396484375,47107.203,89601.164,214689.0,1.5833333333333333,0.45,0.2,5.5325174,8.624616,9.360815,4.507117,5.256137,5.67944
0,169,51683.15625,46871.758,89564.266,214821.62,1.6,0.45,0.2,5.421067,8.448475,9.149147,4.5013595,5.2588987,5.659503
0,170,44604.16015625,46672.6,89502.22,214944.95,1.6,0.45,0.2,5.4098415,8.425692,9.116484,4.517593,5.28156,5.673763
0,171,47729.1875,46469.06,89516.64,215164.97,1.6,0.45,0.2,5.226102,8.147699,8.780973,4.4969144,5.2696247,5.627662
0,172,50573.90625,46297.66,89528.14,215380.62,1.6166666666666667,0.45,0.2,5.121338,7.9870043,8.584749,4.494224,5.2755346,5.6112776
0,173,43888.8427734375,46077.273,89376.56,215406.66,1.6166666666666667,0.45,0.2,5.2154174,8.126689,8.740156,4.532548,5.31708,5.660391
0,174,44558.26953125,45883.36,89250.09,215415.3,1.6166666666666667,0.5,0.2,5.3676867,8.349921,8.998763,4.5845385,5.371161,5.7337184
0,175,45753.205078125,45729.6,89179.81,215477.97,1.6333333333333333,0.5,0.2,5.495638,8.537789,9.216789,4.632195,5.4214387,5.800768
0,176,44562.998046875,45537.566,89165.695,215565.1,1.65,0.5,0.2,5.482699,8.514989,9.189238,4.6516333,5.44518,5.823619
0,177,39668.775390625,45313.6,89154.53,215711.38,1.65,0.5,0.2,5.317311,8.267204,8.8914175,4.637758,5.43878,5.7907553
0,178,49743.599609375,45199.94,89325.734,216112.66,1.65,0.45,0.15,5.0123262,7.8106484,8.346098,4.5942893,5.406601,5.7082634
